"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","CHÂTEAUNEUF-LES-MARTIGUES (13)","Tous secteurs","Toutes énergies","conso","39976.1","tep"
"2007","CHÂTEAUNEUF-MIRAVAIL (04)","Tous secteurs","Toutes énergies","conso","92.8","tep"
"2007","CHÂTEAUNEUF-VAL-SAINT-DONAT (04)","Tous secteurs","Toutes énergies","conso","834.4","tep"
"2007","CHÂTEAUNEUF-VILLEVIEILLE (06)","Tous secteurs","Toutes énergies","conso","1150.5","tep"
"2007","CHÂTEAUREDON (04)","Tous secteurs","Toutes énergies","conso","833.4","tep"
"2007","CHÂTEAURENARD (13)","Tous secteurs","Toutes énergies","conso","27171.6","tep"
"2007","CHÂTEAUROUX-LES-ALPES (05)","Tous secteurs","Toutes énergies","conso","3972.1","tep"
"2007","CHÂTEAUVERT (83)","Tous secteurs","Toutes énergies","conso","463.3","tep"
"2007","CHÂTEAUVIEUX (05)","Tous secteurs","Toutes énergies","conso","1434.6","tep"
"2007","CHÂTEAUVIEUX (83)","Tous secteurs","Toutes énergies","conso","237.7","tep"
"2007","CHÂTEAU-VILLE-VIEILLE (05)","Tous secteurs","Toutes énergies","conso","1696.1","tep"
"2007","CHAUDON-NORANTE (04)","Tous secteurs","Toutes énergies","conso","1244.7","tep"
"2007","CHEVAL-BLANC (84)","Tous secteurs","Toutes énergies","conso","6006.1","tep"
"2007","CHORGES (05)","Tous secteurs","Toutes énergies","conso","6502.4","tep"
"2007","CIPIÈRES (06)","Tous secteurs","Toutes énergies","conso","840.4","tep"
"2007","CLAMENSANE (04)","Tous secteurs","Toutes énergies","conso","357.5","tep"
"2007","CLANS (06)","Tous secteurs","Toutes énergies","conso","904.9","tep"
"2007","CLARET (04)","Tous secteurs","Toutes énergies","conso","379.9","tep"
"2007","CLAVIERS (83)","Tous secteurs","Toutes énergies","conso","685.4","tep"
"2007","CLUMANC (04)","Tous secteurs","Toutes énergies","conso","252.5","tep"
"2007","COARAZE (06)","Tous secteurs","Toutes énergies","conso","530.7","tep"
"2007","COGOLIN (83)","Tous secteurs","Toutes énergies","conso","15998.1","tep"
"2007","COLLOBRIÈRES (83)","Tous secteurs","Toutes énergies","conso","5774.4","tep"
"2007","COLLONGUES (06)","Tous secteurs","Toutes énergies","conso","113.2","tep"
"2007","COLMARS (04)","Tous secteurs","Toutes énergies","conso","4096.2","tep"
"2007","COLOMARS (06)","Tous secteurs","Toutes énergies","conso","5981.6","tep"
"2007","COMPS-SUR-ARTUBY (83)","Tous secteurs","Toutes énergies","conso","917.3","tep"
"2007","CONSÉGUDES (06)","Tous secteurs","Toutes énergies","conso","84.5","tep"
"2007","CONTES (06)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","CONTES (06)","Tous secteurs","Toutes énergies","conso","11118.3","tep"
"2007","CORBIÈRES (04)","Tous secteurs","Toutes énergies","conso","4250.5","tep"
"2007","CORNILLON-CONFOUX (13)","Tous secteurs","Toutes énergies","conso","1674.8","tep"
"2007","CORRENS (83)","Tous secteurs","Toutes énergies","conso","1146.6","tep"
"2007","COTIGNAC (83)","Tous secteurs","Toutes énergies","conso","2908.9","tep"
"2007","COUDOUX (13)","Tous secteurs","Toutes énergies","conso","11895.8","tep"
"2007","COURMES (06)","Tous secteurs","Toutes énergies","conso","676.7","tep"
"2007","COURSEGOULES (06)","Tous secteurs","Toutes énergies","conso","764.1","tep"
"2007","COURTHÉZON (84)","Tous secteurs","Toutes énergies","conso","26422.5","tep"
"2007","CRESTET (84)","Tous secteurs","Toutes énergies","conso","904.3","tep"
"2007","CRÉVOUX (05)","Tous secteurs","Toutes énergies","conso","659.5","tep"
"2007","CRILLON-LE-BRAVE (84)","Tous secteurs","Toutes énergies","conso","731.8","tep"
"2007","CROTS (05)","Tous secteurs","Toutes énergies","conso","3219.6","tep"
"2007","CRUIS (04)","Tous secteurs","Toutes énergies","conso","1142.7","tep"
"2007","CUCURON (84)","Tous secteurs","Toutes énergies","conso","2224.4","tep"
"2007","CUÉBRIS (06)","Tous secteurs","Toutes énergies","conso","124.3","tep"
"2007","CUERS (83)","Tous secteurs","Toutes énergies","conso","25738.8","tep"
"2007","CUGES-LES-PINS (13)","Tous secteurs","Toutes énergies","conso","5833.6","tep"
"2007","CURBANS (04)","Tous secteurs","Toutes énergies","conso","461.3","tep"
"2007","CUREL (04)","Tous secteurs","Toutes énergies","conso","156.9","tep"
"2007","DALUIS (06)","Tous secteurs","Toutes énergies","conso","662.4","tep"
"2007","DAUPHIN (04)","Tous secteurs","Toutes énergies","conso","1282.8","tep"
"2007","DEMANDOLX (04)","Tous secteurs","Toutes énergies","conso","192.5","tep"
"2007","DEVOLUY (05)","Tous secteurs","Toutes énergies","conso","6676.8","tep"
"2007","DÉVOLUY (05)","Tous secteurs","Toutes énergies","conso","6676.8","tep"
